city,community_name,district,subdistrict,road,nearby,price,price_yuan,original_price,price_change,secondhand_count,rent_count,year_built,fetch_date,detail_links,longitude,latitude,synthetic
济南,绿地IFC中央公馆B7地块,2023历下,CBD,齐音路,"近地铁,近学校,二环绕城高速之间,次新小区",2.5581,25581,25581 元/m²,0.28%,5,21,2023,2026-05-27,二手房(5) | 租房(21) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.104314,36.669668,0
济南,大华紫郡四区(别墅),2023历下,全运村,龙腾路,"近地铁,近学校,二环绕城高速之间,大户型居多,别墅,次新小区",5.6902,56902,56902 元/m²,2.42%,5,0,2023,2026-05-27,二手房(5) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.111796,36.61688,0
济南,海尔绿城全运村麗园,2018历下,全运村,百合东路,"近地铁,近学校,3号线(R3)等,二环绕城高速之间,大户型居多,绿化好,配套齐全",5.6393,56393,56393 元/m²,0.57%,20,12,2018,2026-05-27,二手房(20) | 租房(12) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.127695,36.637337,0
济南,中海玖昌源邸(新房),2027历下,经十路历下段,历下区浆水泉路以东、和平东路以南,"近地铁,近学校,轨交房,主卧套房,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透",5.2,52000,52000 元/m²,持平,5,0,2027,2026-05-27,二手房(5) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.132373,36.650873,0
济南,明湖七院,1998历下,泉城路,大明湖路,"近地铁,近学校,二环以内,别墅,配套齐全",5.49,54900,54900 元/m²,持平,0,2,1998,2026-05-27,二手房(0) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.033564,36.67305,0
济南,中创软件宿舍,1996历下,千佛山,千佛山东路39-1号,"近地铁,近学校,二环以内,配套齐全",2.4891,24891,24891 元/m²,2.99%,3,4,1996,2026-05-27,二手房(3) | 租房(4) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.04453,36.642583,0
济南,鲁能领秀公馆(别墅),2017市中,鲁能领秀城,"望岳路,近英雄山路","近地铁,近学校,二环绕城高速之间,大户型居多,别墅",4.2836,42836,42836 元/m²,17.68%,2,0,2017,2026-05-27,二手房(2) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,116.992757,36.572644,0
济南,原山九号,2015历下,旅游路,"旅游路,近洪山路","近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.4313,54313,54313 元/m²,持平,2,2,2015,2026-05-27,二手房(2) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.055974,36.660359,0
济南,原山九号,2015历下,旅游路,"旅游路,近洪山路","近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.4313,54313,54313 元/m²,持平,2,2,2015,2026-05-27,二手房(2) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.055974,36.660359,0
济南,中海玖昌源邸(新房),2027历下,经十路历下段,历下区浆水泉路以东、和平东路以南,"近地铁,近学校,轨交房,主卧套房,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透",5.2,52000,52000 元/m²,持平,5,0,2027,2026-05-27,二手房(5) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.132373,36.650873,0
济南,银座花园,2003历下,转山西路,转山西路7号,"近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,户型丰富,绿化好,配套齐全",2.3266,23266,23266 元/m²,0.32%,123,41,2003,2026-05-27,二手房(123) | 租房(41) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.098206,36.645959,0
济南,招商雍华府,2020历下,CBD,解放东路,"近地铁,近学校,3号线(R3)等,二环绕城高速之间,大户型居多,次新小区,配套齐全",3.3544,33544,33544 元/m²,0.61%,29,53,2020,2026-05-27,二手房(29) | 租房(53) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.109145,36.664704,0
济南,高新绿城玉兰花园留园,2022高新,汉峪,汉峪西路,"近地铁,近学校,二环绕城高速之间,大户型居多,次新小区",5.1019,51019,51019 元/m²,0.72%,9,0,2022,2026-05-27,二手房(9) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.138198,36.636126,0
济南,凤熙书院,2025历城,建筑大学,经十路与凤鸣路交汇处西北方向,"近地铁,近学校,轨交房,购物中心",6.5,65000,65000 元/m²,持平,2,0,2025,2026-05-27,二手房(2) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.186447,36.673097,0
济南,文化西路22号院,2003历下,朝山街,文化西路22号,"近地铁,近学校,二环以内,配套齐全",1.93,19300,19300 元/m²,持平,0,5,2003,2026-05-27,二手房(0) | 租房(5) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.027639,36.654638,0
济南,中海玖昌源邸(新房),2027历下,经十路历下段,历下区浆水泉路以东、和平东路以南,"近地铁,近学校,轨交房,主卧套房,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透",5.2,52000,52000 元/m²,持平,5,0,2027,2026-05-27,二手房(5) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.132373,36.650873,0
